0,start,始める
1,role,役割、役
2,roll,転がる/ を転がす
3,healthy,健康な
4,mammal,哺乳動物
5,produce,を生産する/　農産物
6,reproduce,を再生する / 繁殖する
7,suffer,苦しむ　害を受ける/ を受ける
8,lack,不足 / を欠いている
9,curious,好奇心の強い　奇妙な
10,however,しかし　どんなに～でも
11,nevertheless,それにもかかわらず
12,nonetheless,それにもかかわらず
13,ape,類人類
14,mark,印 点数 標識 / に印をつける　を示す
15,target,的　達成目標 / を狙う
16,skin,皮膚　皮
17,tooth,歯
18,decay,腐る　荒廃する / 腐敗　衰退
19,area,地域　分野　面積
20,bleed,出血する
21,plenty,たくさん
22,fresh,新しい　新鮮な
23,drug,薬　麻薬
24,amount,総額　量 / 総計～に達する　等しい
25,sum,金額　合計　要点 / を要約する
26,mind,精神　頭脳　意見　記憶力 / 嫌がる　気をつける
27,definition,定義　限定
28,numerous,多数の
29,separate,を分ける　を引き離す　を区別する / 離れた　別々の
30,split,を分ける/ 分裂する / 分け目　裂け目
31,isolate,を孤立させる　を隔離する
32,usual ,いつもの
33,poison,毒
34,carefully,注意深く　注意して
35,control,を支配する　を抑制する / 支配　抑制
36,discipline,訓練　しつけ　規律 / を訓練する　を罰する
37,alcohol,アルコール　酒
38,instance,実例　場合
39,instant,即刻の　即席の / 瞬間
40,depend,頼る　当てにする / ～次第である
41,history,歴史
42,tie,絆　ネクタイ　同点 / を結ぶ　をつなぐ
43,bond,絆 / をくっつける
44,culture,文化　教養
45,cultivate,を耕す　を栽培する　を養う
46,plant,植物　工場 / を植える
47,biology,生物学
48,unique,特有の　唯一の
49,peculiar,奇妙な　特有の
50,matter,問題　事態　物質 / 重要である
51,taste,味　好み / 味がする / の味を見る
52,flavor,風味　趣 / に風味をつける
53,cause,を引き起こす / 原因　根拠　主義
54,persuade,を説得する
55,fact,事実
56,treat,を扱う　を治療する　におごる / おごり　もてなし
57,belong,所属している
58,pick,選ぶ　摘む　掘る
59,wolf,オオカミ
60,raise,を上げる　を育てる　を集める　を提起する
61,rear,後部 / 後部の / を育てる
62,lift,を持ち上げる　を高揚させる
63,breed,子を産む / を育てる
64,female,女性の　雌の
65,birth,誕生　出産
66,dawn,夜明け　始まり
67,dig,掘る　突っ込む　探求する
68,hole,穴　欠点
69,gap,割れ目　空白　相違
70,within,の内部に　の範囲内で　～以内に
71,while,する間に　の間ずっと　その一方で / 時間
72,moment ,瞬間　時
73,hunt,狩る　捜す / 探索　狩り
74,instead,その代わりに
75,behind,後に　劣って
76,guard,を守る　を見張る / 警備員
77,physical,身体の　物質の　物理的な
78,manual,手の　手を使う / マニュアル
79,gesture,身振り
80,meaning,意味　意図
81,misunderstand,誤解する
82,signal,合図　信号 / に合図する
83,embarrass,を困らせる
84,foreign,外国の　異質の
85,alien,外国の　異質な / 外国人　宇宙人
86,domestic,国内の　家庭の
87,overseas,海外へ / 海外の
88,count,を数える / 重要である / 計算
89,countless,無数の
90,counterpart,片方　似たもの
91,calculate,を計算する　と見積もる
92,index,索引　目録　指数　指標
93,common,共通の　普通の
94,familiar,なじみのある　精通した
95,mutual,相互の　共通の
96,puzzle,を困らせる / わからないこと　パズル
97,mystery,不思議　神秘
98,reply,答える / 答え
99,effective,効果的な
